[2025-09-28 23:43:33.143 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching Car with ID "11111111-1111-1111-1111-111111111111" | UserContext:  | TraceId: d16c2c10f3d5c16d40cba17d5800d4e0 | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:0000003B", RequestPath: "/api/Car/11111111-1111-1111-1111-111111111111", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.155 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching Car with ID "97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4" | UserContext:  | TraceId: 258ba011deccf4703355fc079209150c | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:0000003D", RequestPath: "/api/Car/97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.162 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching Car with ID "2df869c7-92d2-4789-b5c0-fd7796bdc8cb" | UserContext:  | TraceId: e1a0d498377eff0e08dde0137743eb8f | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:0000003F", RequestPath: "/api/Car/2df869c7-92d2-4789-b5c0-fd7796bdc8cb", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.176 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching all Car records | UserContext:  | TraceId: 8355fa9563cbeb75e364cd29f8412c71 | Properties: { ActionId: "10917fc6-336e-4a79-8ba1-e5b16ae666f0", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetAll (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000041", RequestPath: "/api/Car", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.180 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Fetching Car with ID "990ebac7-f50b-45cb-b4a0-d3aad817de52" | UserContext:  | TraceId: 8a6180e565237ee07fd99f5bc78a0f0a | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000043", RequestPath: "/api/Car/990ebac7-f50b-45cb-b4a0-d3aad817de52", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.214 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Car with ID "11111111-1111-1111-1111-111111111111" retrieved successfully | UserContext:  | TraceId: d16c2c10f3d5c16d40cba17d5800d4e0 | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:0000003B", RequestPath: "/api/Car/11111111-1111-1111-1111-111111111111", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.214 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Car with ID "97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4" retrieved successfully | UserContext:  | TraceId: 258ba011deccf4703355fc079209150c | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:0000003D", RequestPath: "/api/Car/97698ff9-ec1c-4ad6-ac31-3f9c6a7b82b4", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.214 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Car with ID "2df869c7-92d2-4789-b5c0-fd7796bdc8cb" retrieved successfully | UserContext:  | TraceId: e1a0d498377eff0e08dde0137743eb8f | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:0000003F", RequestPath: "/api/Car/2df869c7-92d2-4789-b5c0-fd7796bdc8cb", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.222 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:7249/api/Car/11111111-1111-1111-1111-111111111111 - 200 null application/json; charset=utf-8 118.4671ms | UserContext:  | TraceId: d16c2c10f3d5c16d40cba17d5800d4e0 | Properties: { EventId: { Id: 2 }, RequestId: "0HNFUOAUU3E6F:0000003B", RequestPath: "/api/Car/11111111-1111-1111-1111-111111111111", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.220 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Retrieved 4 Car records | UserContext:  | TraceId: 8355fa9563cbeb75e364cd29f8412c71 | Properties: { ActionId: "10917fc6-336e-4a79-8ba1-e5b16ae666f0", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetAll (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000041", RequestPath: "/api/Car", ConnectionId: "0HNFUOAUU3E6F" } 
[2025-09-28 23:43:33.221 +04:00 INF] AutoriaFinal.Application.Services.GenericService - Car with ID "990ebac7-f50b-45cb-b4a0-d3aad817de52" retrieved successfully | UserContext:  | TraceId: 8a6180e565237ee07fd99f5bc78a0f0a | Properties: { ActionId: "ebfffff1-2f55-45d1-8d2f-6811d76dccd7", ActionName: "AutoriaFinal.API.Controllers.Auctions.CarController.GetById (AutoriaFinal.API)", RequestId: "0HNFUOAUU3E6F:00000043", RequestPath: "/api/Car/990ebac7-f50b-45cb-b4a0-d3aad817de52", ConnectionId: "0HNFUOAUU3E6F" } 
